# raceline for track_id=oschersleben (claude-docs/02-repo-layout.md)
# generated by tools/raceline (tool_version=0.1.0)
# vehicle_params: schema_version=0.2.0, sysid_session_id=none-preliminary
# generation_params: track_shape=external_centerline, source_centerline_csv=../config/tracks/oschersleben/source_centerline.csv, resample_ds_m=0.1, smooth_window=5, a_lat_max_mps2=9.51, a_max_mps2=9.51, v_max_mps=20.0
# columns: s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
23.000988,-22.071062,6.474056,2.854685,-0.000176,9.536885
23.100992,-22.166979,6.502357,2.854683,0.000133,9.436636
23.200996,-22.262895,6.530657,2.854702,0.000251,9.335310
23.301001,-22.358813,6.558954,2.854731,0.000334,9.232872
23.401005,-22.454731,6.587248,2.854816,0.001375,9.129285
23.501009,-22.550653,6.615529,2.854993,0.002158,9.024509
23.601013,-22.646581,6.643789,2.855193,0.001850,8.918503
23.701018,-22.742515,6.672031,2.855386,0.001998,8.811220
23.801022,-22.838454,6.700254,2.855751,0.005299,8.702616
23.901026,-22.934408,6.728427,2.856228,0.004257,8.592639
24.001030,-23.030374,6.756558,2.856614,0.003449,8.481236
24.101035,-23.126349,6.784657,2.857086,0.005996,8.368350
24.201039,-23.222342,6.812697,2.857801,0.008309,8.253920
24.301043,-23.318358,6.840658,2.858467,0.005009,8.137882
24.401047,-23.414387,6.868571,2.858968,0.005009,8.020165
24.501052,-23.510431,6.896436,2.859779,0.011205,7.900694
24.601056,-23.606506,6.924193,2.860788,0.008970,7.779388
24.701060,-23.702606,6.951864,2.861562,0.006508,7.656161
24.801064,-23.798723,6.979473,2.862361,0.009476,7.530918
24.901068,-23.894867,7.006990,2.863565,0.014607,7.403556
25.001072,-23.991051,7.034367,2.864716,0.008410,7.273965
25.101076,-24.087258,7.061663,2.865542,0.008099,7.142023
25.201081,-24.183487,7.088881,2.867318,0.027428,7.007597
25.301084,-24.279789,7.115834,2.870244,0.031092,6.870542
