# raceline for track_id=gym_oval (claude-docs/02-repo-layout.md)
# generated by tools/raceline (tool_version=0.1.0)
# vehicle_params: schema_version=0.1.0, sysid_session_id=none-preliminary
# generation_params: track_shape=stadium, straight_length_m=8.0, turn_radius_m=3.0, points_per_meter=10.0, resample_ds_m=0.1, smooth_window=5, a_lat_max_mps2=9.51, a_max_mps2=9.51, v_max_mps=20.0
# columns: s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
20.718285,0.695384,3.000000,3.141593,0.000000,9.851537
20.818425,0.595244,3.000000,3.141593,-0.000000,9.947735
20.918565,0.495104,3.000000,3.141593,-0.000000,10.043012
21.018705,0.394964,3.000000,3.141593,-0.000000,10.137394
21.118844,0.294824,3.000000,3.141593,0.000000,10.230905
21.218984,0.194685,3.000000,3.141593,-0.000000,10.323569
21.319124,0.094545,3.000000,3.141593,-0.000000,10.415409
21.419264,-0.005595,3.000000,3.141593,0.000000,10.506351
21.519404,-0.105735,3.000000,3.141593,0.000000,10.415314
21.619544,-0.205875,3.000000,3.141593,-0.000000,10.323473
21.719684,-0.306015,3.000000,3.141593,0.000000,10.230808
21.819824,-0.406155,3.000000,3.141593,0.000000,10.137296
21.919963,-0.506295,3.000000,3.141593,-0.000000,10.042914
22.020103,-0.606435,3.000000,3.141593,-0.000000,9.947636
22.120243,-0.706574,3.000000,3.141593,0.000000,9.851436
22.220383,-0.806714,3.000000,3.141593,0.000000,9.754288
22.320523,-0.906854,3.000000,3.141593,-0.000000,9.656163
22.420663,-1.006994,3.000000,3.141593,0.000000,9.557030
22.520803,-1.107134,3.000000,3.141593,-0.000000,9.456857
22.620943,-1.207274,3.000000,3.141593,-0.000000,9.355613
22.721083,-1.307414,3.000000,3.141593,0.000000,9.253261
22.821222,-1.407554,3.000000,3.141593,0.000000,9.149763
22.921362,-1.507693,3.000000,3.141593,-0.000000,9.045082
23.021502,-1.607833,3.000000,3.141593,0.000000,8.939175
23.121642,-1.707973,3.000000,3.141593,0.000000,8.831998
23.221782,-1.808113,3.000000,3.141593,-0.000000,8.723504
23.321922,-1.908253,3.000000,3.141593,-0.000000,8.613644
23.422062,-2.008393,3.000000,3.141593,0.000000,8.502365
23.522202,-2.108533,3.000000,3.141593,0.000000,8.389610
23.622341,-2.208673,3.000000,3.141593,-0.000000,8.275318
23.722481,-2.308813,3.000000,3.141593,-0.000000,8.159426
23.822621,-2.408952,3.000000,3.141593,0.000000,8.041863
23.922761,-2.509092,3.000000,3.141593,-0.000000,7.922557
24.022901,-2.609232,3.000000,3.141593,-0.000000,7.801426
24.123041,-2.709372,3.000000,3.141593,-0.000000,7.678384
24.223181,-2.809512,3.000000,3.141593,0.000000,7.553339
24.323321,-2.909652,3.000000,3.141593,-0.000000,7.426188
24.423460,-3.009792,3.000000,3.141593,-0.000000,7.296821
24.523600,-3.109932,3.000000,3.141593,0.000000,7.165120
24.623740,-3.210071,3.000000,3.141593,-0.000000,7.030952
24.723880,-3.310211,3.000000,3.141593,-0.000000,6.894173
24.824020,-3.410351,3.000000,3.141593,0.000000,6.754625
24.924160,-3.510491,3.000000,3.141593,0.000000,6.612133
25.024300,-3.610631,3.000000,3.141593,-0.000000,6.466501
25.124440,-3.710771,3.000000,-3.141406,0.003729,6.317514
25.224579,-3.810910,2.999963,-3.139179,0.040752,6.164927
25.324715,-3.911045,2.999517,-3.131761,0.107423,6.008473
25.424830,-4.011149,2.997994,-3.117669,0.174156,5.847867
25.524911,-4.111176,2.994728,-3.096898,0.240993,5.682783
25.624953,-4.211057,2.989053,-3.069634,0.304117,5.512824
25.724976,-4.310700,2.980345,-3.037734,0.333816,5.337489
25.824999,-4.409997,2.968317,-3.004352,0.333815,5.337490
25.925022,-4.508837,2.952981,-2.970971,0.333815,5.337492
26.025045,-4.607111,2.934355,-2.937589,0.333815,5.337493
26.125068,-4.704708,2.912459,-2.904208,0.333815,5.337494
26.225091,-4.801520,2.887318,-2.870826,0.333815,5.337496
26.325114,-4.897439,2.858960,-2.837445,0.333814,5.337497
26.425138,-4.992359,2.827416,-2.804063,0.333814,5.337499
26.525161,-5.086172,2.792722,-2.770682,0.333814,5.337500
26.625184,-5.178776,2.754917,-2.737301,0.333814,5.337501
26.725208,-5.270066,2.714041,-2.703919,0.333814,5.337503
26.825231,-5.359941,2.670142,-2.670538,0.333814,5.337504
26.925255,-5.448301,2.623267,-2.637156,0.333813,5.337506
27.025279,-5.535047,2.573470,-2.603775,0.333813,5.337507
27.125302,-5.620083,2.520805,-2.570393,0.333813,5.337509
27.225326,-5.703314,2.465331,-2.537012,0.333813,5.337510
27.325350,-5.784648,2.407110,-2.503630,0.333813,5.337512
27.425374,-5.863993,2.346207,-2.470249,0.333813,5.337513
27.525397,-5.941261,2.282690,-2.436867,0.333812,5.337514
27.625421,-6.016366,2.216629,-2.403486,0.333812,5.337516
27.725445,-6.089224,2.148099,-2.370104,0.333812,5.337517
27.825470,-6.159755,2.077175,-2.336723,0.333812,5.337519
27.925494,-6.227879,2.003936,-2.303341,0.333812,5.337520
